platform,benchmark,implementation,file,runtime_ms
cpu,mttkrp,mlir,darpa.tns,981
cpu,mttkrp,mlir,darpa.tns,979
cpu,mttkrp,mlir,darpa.tns,980
cpu,mttkrp,mlir,darpa.tns,979
cpu,mttkrp,mlir,darpa.tns,980
cpu,mttkrp,iegenlib,darpa.tns,971
cpu,mttkrp,iegenlib,darpa.tns,971
cpu,mttkrp,iegenlib,darpa.tns,970
cpu,mttkrp,iegenlib,darpa.tns,971
cpu,mttkrp,iegenlib,darpa.tns,971
cpu,ttm,mlir,darpa.tns,96
cpu,ttm,mlir,darpa.tns,95
cpu,ttm,mlir,darpa.tns,95
cpu,ttm,mlir,darpa.tns,95
cpu,ttm,mlir,darpa.tns,95
cpu,ttm,iegenlib,darpa.tns,210
cpu,ttm,iegenlib,darpa.tns,210
cpu,ttm,iegenlib,darpa.tns,209
cpu,ttm,iegenlib,darpa.tns,209
cpu,ttm,iegenlib,darpa.tns,209
gpu,mttkrp,mlir,darpa.tns,27
gpu,mttkrp,mlir,darpa.tns,27
gpu,mttkrp,mlir,darpa.tns,27
gpu,mttkrp,mlir,darpa.tns,28
gpu,mttkrp,mlir,darpa.tns,27
gpu,ttm,mlir,darpa.tns,138
gpu,ttm,mlir,darpa.tns,138
gpu,ttm,mlir,darpa.tns,138
gpu,ttm,mlir,darpa.tns,136
gpu,ttm,mlir,darpa.tns,137
cpu,mttkrp,mlir,fb-m.tns,3435
cpu,mttkrp,mlir,fb-m.tns,3428
cpu,mttkrp,mlir,fb-m.tns,3428
cpu,mttkrp,mlir,fb-m.tns,3437
cpu,mttkrp,mlir,fb-m.tns,3427
cpu,mttkrp,iegenlib,fb-m.tns,3309
cpu,mttkrp,iegenlib,fb-m.tns,3306
cpu,mttkrp,iegenlib,fb-m.tns,3306
cpu,mttkrp,iegenlib,fb-m.tns,3306
cpu,mttkrp,iegenlib,fb-m.tns,3305
cpu,ttm,mlir,fb-m.tns,1210
cpu,ttm,mlir,fb-m.tns,1210
cpu,ttm,mlir,fb-m.tns,1210
cpu,ttm,mlir,fb-m.tns,1210
cpu,ttm,mlir,fb-m.tns,1210
cpu,ttm,iegenlib,fb-m.tns,1936
cpu,ttm,iegenlib,fb-m.tns,1935
cpu,ttm,iegenlib,fb-m.tns,1936
cpu,ttm,iegenlib,fb-m.tns,1935
cpu,ttm,iegenlib,fb-m.tns,1936
gpu,mttkrp,mlir,fb-m.tns,68
gpu,mttkrp,mlir,fb-m.tns,68
gpu,mttkrp,mlir,fb-m.tns,67
gpu,mttkrp,mlir,fb-m.tns,68
gpu,mttkrp,mlir,fb-m.tns,68
gpu,ttm,mlir,fb-m.tns,702
gpu,ttm,mlir,fb-m.tns,716
gpu,ttm,mlir,fb-m.tns,702
gpu,ttm,mlir,fb-m.tns,701
gpu,ttm,mlir,fb-m.tns,693
cpu,mttkrp,mlir,fb-s.tns,4803
cpu,mttkrp,mlir,fb-s.tns,4801
cpu,mttkrp,mlir,fb-s.tns,4798
