platform,benchmark,implementation,file,runtime_ms
cpu,mttkrp,mlir,darpa.tns,1076
cpu,mttkrp,mlir,darpa.tns,1075
cpu,mttkrp,mlir,darpa.tns,1075
cpu,mttkrp,mlir,darpa.tns,1075
cpu,mttkrp,mlir,darpa.tns,1075
cpu,mttkrp,mlir,fb-m.tns,3790
cpu,mttkrp,mlir,fb-m.tns,3768
cpu,mttkrp,mlir,fb-m.tns,3768
cpu,mttkrp,mlir,fb-m.tns,3769
cpu,mttkrp,mlir,fb-m.tns,3769
cpu,mttkrp,mlir,fb-s.tns,5333
cpu,mttkrp,mlir,fb-s.tns,5257
cpu,mttkrp,mlir,fb-s.tns,5256
cpu,mttkrp,mlir,fb-s.tns,5262
cpu,mttkrp,mlir,fb-s.tns,5256
cpu,mttkrp,mlir,nell-1.tns,5250
cpu,mttkrp,mlir,nell-1.tns,5251
cpu,mttkrp,mlir,nell-1.tns,5249
cpu,mttkrp,mlir,nell-1.tns,5251
cpu,mttkrp,mlir,nell-1.tns,5249
cpu,mttkrp,mlir,nell-2.tns,1242
cpu,mttkrp,mlir,nell-2.tns,1240
cpu,mttkrp,mlir,nell-2.tns,1240
cpu,mttkrp,mlir,nell-2.tns,1240
cpu,mttkrp,mlir,nell-2.tns,1240
cpu,mttkrp,iegenlib,darpa.tns,1019
cpu,mttkrp,iegenlib,darpa.tns,1018
cpu,mttkrp,iegenlib,darpa.tns,1019
cpu,mttkrp,iegenlib,darpa.tns,1018
cpu,mttkrp,iegenlib,darpa.tns,1019
cpu,mttkrp,iegenlib,fb-m.tns,3574
cpu,mttkrp,iegenlib,fb-m.tns,3574
cpu,mttkrp,iegenlib,fb-m.tns,3572
cpu,mttkrp,iegenlib,fb-m.tns,3571
cpu,mttkrp,iegenlib,fb-m.tns,3573
cpu,mttkrp,iegenlib,fb-s.tns,5005
cpu,mttkrp,iegenlib,fb-s.tns,5000
cpu,mttkrp,iegenlib,fb-s.tns,5001
cpu,mttkrp,iegenlib,fb-s.tns,4999
cpu,mttkrp,iegenlib,fb-s.tns,4999
cpu,mttkrp,iegenlib,nell-1.tns,4876
cpu,mttkrp,iegenlib,nell-1.tns,4876
cpu,mttkrp,iegenlib,nell-1.tns,4876
cpu,mttkrp,iegenlib,nell-1.tns,4872
cpu,mttkrp,iegenlib,nell-1.tns,4875
cpu,mttkrp,iegenlib,nell-2.tns,1074
cpu,mttkrp,iegenlib,nell-2.tns,1071
cpu,mttkrp,iegenlib,nell-2.tns,1072
cpu,mttkrp,iegenlib,nell-2.tns,1072
cpu,mttkrp,iegenlib,nell-2.tns,1071
cpu,ttm,mlir,darpa.tns,128
cpu,ttm,mlir,darpa.tns,129
cpu,ttm,mlir,darpa.tns,129
